alpha_3,ADM0_PCODE,ADM0_REF,ADM1_PCODE,ADM1_REF,ADM2_PCODE,ADM2_REF,ADM3_PCODE,ADM3_REF,ADM_LEVEL,ADM_PCODE,ADM_REF,Season,CHIRPS_mean,CHIRPS_min,CHIRPS_max
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010101,Tahtay Adiyabo,3,ET010101,Tahtay Adiyabo,marmay,-19.81198,-24.44487,-14.20597
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010102,Laelay Adiabo,3,ET010102,Laelay Adiabo,marmay,-24.41251,-29.51899,-17.816
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010103,Zana,3,ET010103,Zana,marmay,-10.30139,-19.82733,1.00363
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010104,Tahtay Koraro,3,ET010104,Tahtay Koraro,marmay,-18.58073,-28.6212,-11.4296
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010105,Asgede,3,ET010105,Asgede,marmay,-18.02948,-25.51661,-12.74633
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010106,Tselemti,3,ET010106,Tselemti,marmay,-5.16056,-16.21407,17.10838
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010107,Sheraro town,3,ET010107,Sheraro town,marmay,-23.15064,-24.29201,-21.78113
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010108,Indasilassie town,3,ET010108,Indasilassie town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010109,Selekleka,3,ET010109,Selekleka,marmay,-14.31366,-16.87158,-10.7575
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010110,Seyemti Adyabo,3,ET010110,Seyemti Adyabo,marmay,-26.39635,-31.27607,-21.61107
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010111,Adi Daero,3,ET010111,Adi Daero,marmay,-25.73303,-25.73982,-25.72624
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010112,Adi Hageray,3,ET010112,Adi Hageray,marmay,-23.02307,-27.94039,-16.13984
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010113,Tsimbla,3,ET010113,Tsimbla,marmay,-15.72101,-22.61619,-6.96644
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010114,Endabaguna town,3,ET010114,Endabaguna town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010115,Dima (TG),3,ET010115,Dima (TG),marmay,-2.6779,-15.86975,6.67769
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010116,May Tsebri town,3,ET010116,May Tsebri town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010201,Chila,3,ET010201,Chila,marmay,-17.81549,-21.39235,-13.507
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010202,Aheferom,3,ET010202,Aheferom,marmay,-22.10533,-31.7135,-16.78489
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010203,Edaga arbi,3,ET010203,Edaga arbi,marmay,-6.98969,-12.55726,-0.5918
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010204,Adwa,3,ET010204,Adwa,marmay,-13.86026,-20.11863,-6.75082
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010205,Laelay Maychew,3,ET010205,Laelay Maychew,marmay,-16.2903,-23.20564,-8.28341
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010206,Tahtay Mayechew,3,ET010206,Tahtay Mayechew,marmay,-16.33134,-19.37739,-11.40399
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010207,Adet,3,ET010207,Adet,marmay,-7.35198,-19.40195,1.75156
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010208,Kola Temben,3,ET010208,Kola Temben,marmay,-4.38485,-12.41203,3.49329
